id,d,institution
20147,18,Lab Nazl INFN Frascati
39459,33,Univ Aachen
6174,190,Suleyman Demirel Univ
2069,59,Univ Pittsburgh
6175,18,Univ Los Andes
6169,37,Univ Hamburg
6182,125,Univ London
4169,89,Kyoto Univ
4169,127,Univ Napoli
5526,156,Czech Tech Univ
6178,129,Univ Calif Davis
24209,46,Univ Michigan
20147,28,Horia Hulubei Natl Inst Phys & Nucl Engn
29273,0,Univ Helsinki
3001,43,Univ Michigan
34968,0,Univ Tokyo
39457,85,IPN
24208,138,Cornell Univ
6176,164,Rice Univ
6183,145,Johns Hopkins Univ
19641,75,UCL
229262,0,UPMC
309367,11,Univ Catania
113968,13,Univ Perugia
280470,4,Univ Nice
167389,1,CNRS
118393,35,Ctr Invest Energet Medioambientales & Tecnol
198648,6,Hop Benbadis
35106,33,Sungkyunkwan Univ
10486,4,Univ Savoie
113968,0,Univ Cagliari
82980,0,Hop La Pitie Salpetriere
278316,28,Tata Inst Fundamental Res
6174,24,Helsinki Inst Phys
6177,76,Ist Nazl Fis Nucl
5525,115,Univ Ljubljana
159394,2,Univ Paris 07
5524,118,Nagoya Univ
278155,1,UPPA
20147,1,CBPF
26129,0,Univ Loughborough
5533,131,Radboud Univ Nijmegen NIKHEF
170134,0,Tohoku Univ
6178,86,Konkuk Univ
178933,55,CIEMAT
5532,73,INFN Sez Pisa
259654,18,Univ Paris 07
6171,5,Univ Antwerp
65529,31,Rochester Inst Technol
6180,119,Middle E Tech Univ
39459,85,Univ Seoul
63908,4,Max Planck Inst Gravitat Phys
2976,57,Univ Pisa
5528,192,Tokyo Metropolitan Univ
13750,51,Northwestern Univ
6175,120,Middle E Tech Univ
6180,48,Tata Inst Fundamental Res
24208,199,Mersin Univ
110936,156,Florida State Univ
283849,11,Hop Edouard Herriot
15204,2,Univ Sheffield
6175,133,Univ Calif Santa Barbara
58023,15,Univ Sydney
299713,10,Marseille Univ Hosp
62564,8,Univ Paris 07
56194,11,Ecole Polytech Fed Lausanne
272601,6,Univ Rennes
5533,25,Dogus Univ
2976,4,Univ Athens
90574,0,Ecole Normale Super Lyon
118956,5,Univ Hosp St Etienne
82850,2,Univ Paris 11
6177,53,Univ Bari
6183,88,Seoul Natl Univ
127377,39,Lab Accelerateur Lineaire
103612,0,Univ Bergamo
2081,170,Texas A&M Univ
286267,36,Pfizer Rinat Labs
5524,53,TU Dortmund
5525,126,Univ Massachusetts
18535,3,Equine Hosp
5522,16,Univ Los Andes
130165,19,Kazan VI Lenin State Univ
6173,133,Univ Calif Santa Barbara
2081,158,Northwestern Univ
8063,57,Johannes Gutenberg Univ Mainz
26764,13,CHU Montpellier
24208,86,Kyungpook Natl Univ
215900,18,Univ Paris 07
188152,4,Univ Texas SW Med Ctr Dallas
111564,43,Ohio State Univ
6172,170,Texas Tech Univ
6173,120,Middle E Tech Univ
92785,1,Univ Tsukuba
5526,133,NYU
69982,7,New York Presbyterian Hosp
116938,6,Univ Calif Davis
286516,1,CUNY City Coll
110936,88,Kyungpook Natl Univ
192971,2,Tsinghua Univ
125553,4,Univ Padua
5526,35,Brookhaven Natl Lab
56194,19,Vrije Univ Amsterdam Med Ctr
6173,18,Univ Los Andes
56416,4,Max Born Inst
110936,169,SUNY Buffalo
261383,0,Univ Toulouse
5528,19,Univ Bergen
124950,6,CHU St Etienne
5528,100,Univ Paris 07
127024,2,Hop La Pitie Salpetriere
74240,0,CHU Rangueil
34753,19,Hokkaido Univ
10486,38,Ecole Polytech Fed Lausanne
6167,162,Univ Puerto Rico
13753,15,Comenius Univ
76563,6,Virginia Tech
10486,36,Univ Santiago de Compostela
5528,181,Oskar Klein Ctr
10486,7,Univ Paris 11
6183,87,Korea Univ
297264,7,Univ Lyon 1
291262,2,Univ Texas MD Anderson Canc Ctr
24208,110,Ctr Invest Energet Medioambient & Tecnol CIEMAT
15640,171,Vanderbilt Univ
4169,82,Indiana Univ
6180,126,Boston Univ
155292,2,CHRU
6179,24,Lappeenranta Univ Technol
24208,85,Univ Trieste
178934,26,Univ Liverpool
6181,131,Univ Calif Riverside
5533,7,Turkish Atom Energy Commiss
56194,2,UCL
5532,142,Florida Inst Technol
34557,0,Eurocord
6168,18,Univ Los Andes
6172,1,OeAW
55857,1,ENSEEIHT
113291,54,Univ Naples Federico II
5528,34,Univ Sao Paulo
258354,56,Carleton Coll
38593,4,ESRF
5526,16,Univ Belgrade
215147,3,INSERM U770
13753,21,Ist Nazl Fis Nucl
15640,151,Univ Maryland
7486,10,Univ Sheffield
5437,2,CHRU
116936,28,Seoul Natl Univ
6178,167,Rutgers State Univ
6185,125,Univ London
6184,7,Univ Libre Bruxelles
119069,23,Univ Helsinki
121194,0,SUPMECA LISMMA EA2336
6180,137,Fairfield Univ
86334,7,CNRS
154292,0,Ecole Cent Lyon
248171,1,Univ Natl San Martin
5528,18,Vinca Inst Nucl Sci
66463,0,Phys Res Lab
5533,110,Univ Melbourne
6167,188,Mersin Univ
19641,59,Univ Geneva
273796,5,Univ Hosp St Etienne
2081,167,Rockefeller Univ
6180,57,INFN Sez Catania
278316,20,Hamamatsu Photon KK
308118,10,Johns Hopkins Univ
63908,108,Los Alamos Natl Lab
113291,71,Univ Roma La Sapienza
78965,3,Lab Astrophys Marseille
53127,2,Complesso Univ Monte St Angelo
125588,9,Necker Univ Hosp
