id,d,institution
116938,30,Sungkyunkwan Univ
3002,57,Univ Penn
6174,16,Inst High Energy Phys
6183,124,Rutherford Appleton Lab
116936,60,Wayne State Univ
113291,5,Univ Bergen
2060,51,Univ Copenhagen
110181,2,CHU Lille
5524,36,Univ Chicago
113291,49,Univ Milan
21861,35,Chonnam Natl Univ
6167,108,Inst High Energy Phys
6179,168,Texas A&M Univ
6180,131,Univ Calif San Diego
38841,12,Univ Nice Sophia Antipolis
207944,2,Malad Sang
65119,7,Hop Univ Purpan
2976,21,Ist Nazl Fis Nucl
26871,1,EGO
111565,47,Univ Oxford
200471,1,Univ Zaragoza
127024,7,Univ Paris 07
20152,62,Ist Nazl Fis Nucl
128918,0,Univ Louis Pasteur Strasbourg 1
286267,47,UCL
78633,0,CHU Lille
268592,24,Ist Super Sanita
196392,24,Natl Lab High Energy Phys
6176,51,Univ Coll Dublin
63528,2,Eurecom
5528,4,Ankara Univ
26871,23,Univ Roma Tor Vergata
296250,0,Univ So Denmark
178933,33,Univ Jyvaskyla
178932,44,Univ Giessen
238841,82,Oklahoma State Univ
283288,0,CEA Le Ripault
21861,67,Ist Nazl Fis Nucl
2094,56,Ist Nazl Fis Nucl
6167,185,Univ Belgrade
6184,58,Ist Nazl Fis Nucl
205432,11,CHUM
53127,33,Washington State Univ
6182,68,Univ Padua
116711,2,INFN
5524,126,NYU
196392,13,Austrian Acad Sci
3002,46,Michigan State Univ
56994,1,UVSQ
218148,0,Univ Poitiers
308118,14,Univ Oxford
8769,109,Univ Autonoma Madrid
2060,127,Univ New Mexico
116938,36,McGill Univ
6175,165,Univ Rochester
6176,139,Fermilab Natl Accelerator Lab
27815,1,Int Inst Mol & Cell Biol Warsaw
6171,93,Univ Iberoamer
5532,105,State Res Ctr Russian Federat
250571,4,Univ Montreal
29273,9,Brandeis Univ
6183,2,Natl Ctr Particle & High Energy Phys
39457,133,Florida Inst Technol
6177,129,Univ Calif Davis
15640,59,Univ Florence
55751,2,Univ Rennes 1
199131,1,Hop St Louis
87328,1,Univ Paris 11
201831,2,Colorado State Univ
235219,8,Columbia Univ
113291,60,Univ Padua
6176,184,Warsaw Univ Technol
78966,3,Yonsei Univ
21861,60,Univ Pisa
20152,113,MIT
252925,11,Univ Massachusetts
203179,5,CNRS
273796,3,G Rummo Hosp
258354,70,Univ Trent
19641,33,Univ Roma Tor Vergata
29273,38,UCL
174544,37,CIEMAT
2060,149,Univ Pittsburgh
5526,155,Charles Univ Prague
48329,3,UPS
109301,10,Lab Astrophys Tarbes Toulouse
238841,71,Michigan State Univ
13750,92,Ist Nazl Fis Nucl
35515,7,Caltech Observat Cosmol
6178,49,Tata Inst Fundamental Res
15205,0,Univ Sydney
8769,62,Ist Nazl Fis Nucl
53291,5,Slovak Natl Museum
13753,32,Chonnam Natl Univ
111598,8,Univ Calif Los Angeles
78957,2,Max Planck Inst Astrophys
53126,50,Charles Sturt Univ
4169,168,Ctr Natl Energie Sci Tech Nucl CNESTEN
65529,8,Univ Michigan
127377,15,Univ Calif Los Angeles
288068,1,Univ Hosp Jean Minjoz
67962,0,Univ Texas SW Med Ctr Dallas
6177,152,Univ Minnesota
35106,9,Univ Calif San Diego
24208,49,Univ Delhi
4169,194,Tokyo Inst Technol
5527,141,Osaka Univ
8769,3,Univ Antwerp
5527,120,Moscow Engn Phys Inst
15640,155,Univ Nebraska
39459,11,Univ Estadual Paulista
5525,220,Stockholm Univ
227913,0,Univ Paris 06
208388,5,Radboud Univ Nijmegen
5532,97,Soltan Inst Nucl Studies
5533,94,INFN Sez Lecce
5522,106,Univ Belgrade
39457,1,OeAW
118393,52,Scuola Normale Super Pisa
6172,71,Ist Nazl Fis Nucl
15204,20,CSIC
5527,205,Weizmann Inst Sci
113469,8,Johns Hopkins Univ
6184,101,Joint Inst Nucl Res
26871,9,Vrije Univ Amsterdam
5528,80,Hiroshima Inst Technol
24208,38,Rhein Westfal TH Aachen
4169,140,Univ Paris 11
8063,84,Acad Sci Czech Republic
44092,2,INRA
116937,68,Univ Wisconsin
6184,29,Univ Haute Alsace Mulhouse
8769,63,Univ Milano Bicocca
53127,45,Univ Mississippi
2094,68,Ist Nazl Fis Nucl
111564,34,UCL
19641,22,Princeton Univ
6184,45,Panjab Univ
238841,78,SUNY Stony Brook
131775,12,Inst Portugues Oncol Francisco Gentil
6176,182,Univ Trent
259654,22,Uniwersytet Jagiellonski
6177,86,Konkuk Univ
34715,2,Univ Nice Sophia Antipolis
108519,0,Univ Bayreuth
88887,5,Univ St Etienne Hosp
303477,2,Univ Cantabria
109301,19,Univ Toronto
6175,175,Univ Fed ABC
6178,4,Res Inst Appl Phys Problems
8769,85,Korea Univ
48998,88,Univ Michigan
31661,64,Univ Rochester
63908,33,CNRS
309367,14,Michigan State Univ
159699,1,Avicenne Hosp
77073,1,Budapest Univ Technol & Econ
249592,0,European Mol Biol Lab
6179,46,Bhabha Atom Res Ctr
8769,189,Izmir Inst Technol
206175,3,Univ Metz
252925,13,Univ Calif Los Angeles
6178,76,Ist Nazl Fis Nucl
24208,175,Univ Fed ABC
211172,41,Univ Calabria
8769,102,Inst Theoret & Expt Phys
2976,14,Univ Chicago
13753,58,Univ Siena
5533,144,Univ Oxford
6169,107,Vinca Inst Nucl Sci
62564,14,Natl Inst Nat Sci
99751,3,EFS Strasbourg
5522,139,Univ Florida
5527,139,Univ Oregon
209077,2,Hop St Andre
286267,55,Pasteur Inst Montevideo
6181,112,Univ Cantabria
10047,8,Aarhus Univ
5526,143,Univ Oxford
19650,3,NUI Maynooth
38841,25,MIT
127377,41,Univ Liverpool
238841,5,Univ Estadual Paulista
186581,4,Yonsei Univ
89763,0,Erasmus MC
5522,52,Univ Bari
2069,54,Univ Penn
3002,25,Univ Glasgow
121966,28,Univ Karlsruhe
68949,1,Hebrew Univ Jerusalem
279894,1,Harvard Univ
48998,22,Ist Nazl Fis Nucl
39459,89,Univ Iberoamer
187238,27,Cardiff Univ
39382,13,CALTECH
178932,96,Univ Munich
215900,22,Uniwersytet Jagiellonski
8063,111,Univ Calif Santa Cruz
5532,28,Ecole Polytech
15640,38,Inst Expt Kernphys
48687,3,Univ Vita Salute San Raffaele
6174,75,Scuola Normale Super Pisa
25467,7,Univ Paris 11
19650,0,Univ Manchester
111598,48,Univ Padua
6169,153,Univ Nebraska
4169,44,Pontificia Univ Catolica Chile
39459,41,Univ Ioannina
113291,67,Univ Pisa
178936,36,Budker Inst Nucl Phys
6167,94,Univ Iberoamer
5525,3,Univ Alberta
6179,128,Univ Calif Davis
58025,17,Bloomsburg Univ Penn
276814,1,Univ Lyon 1
5528,199,Univ Antonio Narino
279401,3,Univ Reunion
6185,109,CIEMAT
3002,67,Univ Roma La Sapienza
80347,0,INRA
5527,174,SLAC Natl Accelerator Lab
302885,0,Univ Lyon
271334,0,Univ Adelaide
55776,0,INSERM
39457,143,Univ Mississippi
2068,39,Northwestern Univ
4169,132,Budker Inst Nucl Phys BINP
5532,159,Princeton Univ
24208,84,INFN Sez Trieste
6178,53,Univ Bari
56388,3,Imaxio SA
278316,3,Swiss Fed Inst Technol
31661,19,Fermilab Natl Accelerator Lab
3002,51,Okayama Univ
5533,55,Polish Acad Sci
166559,2,Univ Colorado
110936,157,Florida Inst Technol
5526,69,Tbilisi State Univ
121966,17,Duke Univ
6172,109,CIEMAT
130165,0,CSIC
188152,6,Graz Med Univ
4169,15,Univ Autonoma Barcelona
109301,26,Observ Paris
187238,9,Max Planck Inst Gravitat Phys
194779,3,CHU Angers
10486,49,Univ London Imperial Coll Sci Technol & Med
84040,16,Univ Libre Bruxelles
174544,4,Univ Athens
266814,4,Univ Bristol
6167,44,Univ Debrecen
5527,41,Univ Cambridge
178933,24,CEA
15640,136,Carnegie Mellon Univ
126565,2,Hop Tenon
2060,41,CERN
3001,17,Joint Inst Nucl Res
6185,161,Princeton Univ
203179,0,Gesell Schwerionenforsch mbH
20147,44,STFC Rutherford Appleton Lab
178936,4,Univ Clermont Ferrand
6180,51,Univ Coll Dublin
5533,128,Univ Naples Federico 2
15640,2,Natl Ctr Particle & High Energy Phys
65529,4,Nicolaus Copernicus Astron Ctr
6181,108,Vinca Inst Nucl Sci
6171,146,Univ Kansas
39459,34,Univ Aachen
234526,1,Thomas Jefferson Natl Accelerator Facil
219800,0,Univ Nice Sophia Antipolis
6168,107,Inst High Energy Phys
8063,3,Univ Texas Arlington
110936,107,Petersburg Nucl Phys Inst
6184,40,Univ Athens
237812,3,Rutgers State Univ
208391,3,Radboud Univ Nijmegen
80372,3,Univ Fed Sao Carlos
6185,114,Paul Scherrer Inst
286267,90,Univ Connecticut
5527,188,Univ Tokyo
5527,209,Yerevan Phys Inst
6182,47,Bhabha Atom Res Ctr
13750,64,Rutherford Appleton Lab
6174,41,Univ Ioannina
6173,165,Univ Rochester
71189,1,Univ Hosp Infect Dis
4169,57,So Methodist Univ
95900,0,Univ Zaragoza
312565,0,Nancy Univ
8063,42,Inst Astro & Teilchenphys
251147,1,Hop Henri Mondor
6183,59,Univ Florence
5526,121,Lomonosov Moscow State Univ
240491,2,Univ Paris 13
31661,68,Rutgers State Univ
286267,64,Univ Catania
24208,37,Rhein Westfal TH Aachen
19646,12,CNRS
78298,2,Univ Cambridge
65529,37,Univ Leicester
249347,1,Univ Franche Comte
29273,71,Univ Trieste
26871,22,Ist Nazl Fis Nucl
39459,83,Chonnam Natl Univ
38841,38,Washington State Univ
5522,14,Inst High Energy Phys
13750,93,Univ Southampton
2094,14,Univ Chicago
13713,22,Univ Florida
255468,5,Univ Versailles
6172,114,Paul Scherrer Inst
243306,2,CNRS
13753,51,Univ Oxford
5528,233,Calif State Univ Fresno
135093,3,FNAMS
169925,0,GANIL
294637,12,Univ Rennes
148046,0,ENS
75048,2,Bangalore Univ
2060,38,Univ Buenos Aires
234345,0,SUPELEC IETR
6176,167,Rutgers State Univ
97646,18,CHU Tours
5525,10,Natl Tech Univ Athens
23794,2,Inst Natl Polytech Grenoble
6184,36,DESY
19651,1,Univ Paris 11
6181,75,Ist Nazl Fis Nucl
8769,82,Kangwon Natl Univ
39459,76,Univ Roma La Sapienza
2060,197,Univ Tsukuba
254360,3,CETIOM
24225,19,Joint Inst Nucl Res
6182,132,Univ Calif San Diego
2081,20,Univ Cyprus
187238,49,SE Louisiana Univ
20147,52,CNRS IN2P3
5532,130,Univ Calif Riverside
6172,68,Univ Padua
2068,3,Argonne Natl Lab
6169,12,Univ Estado Rio de Janeiro
7488,7,Univ Paris Diderot
116937,55,Univ Pittsburgh
75366,1,Univ Aix Marseille
118956,6,Univ Angers
6169,59,Ist Nazl Fis Nucl
3001,30,Sungkyunkwan Univ
126449,0,Univ Zaragoza
205432,4,Bordeaux Univ Hosp
217872,1,Swiss Fed Inst Technol
5524,137,Ist Nazl Fis Nucl
201031,1,Univ Cape Town
6179,11,Ctr Brasileiro Pesquisas Fis
39459,145,Kansas State Univ
4169,43,Univ Chicago
20152,183,Univ Sussex
29273,13,Univ Calif Santa Barbara
6169,170,Vanderbilt Univ
280247,4,Kraftanlagen Heidelberg GmbH
6181,145,Univ Iowa
29273,58,Ist Nazl Fis Nucl
39459,130,Univ Calif Santa Barbara
178933,76,Univ Nacl Autonoma Mexico
6168,165,Univ Rochester
6183,140,Univ Florida
196015,2,Hop Cochin
3001,28,Kyungpook Natl Univ
263227,74,Inst Nucl Energy Res
6168,181,ENEA Casaccia Res Ctr
278316,1,Univ Tokyo
6179,82,Kyungpook Natl Univ
30175,45,Univ Michigan
131774,2,Hop Necker Enfants Malad
6174,50,Inst Studies Theoret Phys & Math IPM
6177,167,Rutgers State Univ
24208,99,Inst Expt Phys
196269,5,Univ Complutense Madrid
260631,2,Univ Perpignan
291270,0,Canc Prognost & Hlth Outcomes Unit
24208,141,Univ Florida
259667,5,Natl Opt Astron Observ
6179,66,Ist Nazl Fis Nucl
5524,24,Univ Bonn
19650,6,CNRS Univ
159948,2,Univ Med Ctr Eppendorf
253356,1,Univ La Laguna
251147,3,Hop Necker Enfants Malad
71520,11,CHG
131246,3,Ctr Theoret Nucl Phys
111565,25,Univ Illinois
110936,63,Sezione Ist Nazl Fis Nucl
28302,1,Univ Paris 06
16232,0,Univ Estadual Campinas
157846,2,CHRU Lille
116938,50,Univ Pisa
5527,131,Univ Amsterdam
24208,74,INFN Sez Perugia
178932,39,DESY
5532,165,Rockefeller Univ
268592,10,GAVI
258262,2,Max Planck Inst Mol Cell Biol & Genet
24240,62,Univ Rochester
238841,30,Johannes Gutenberg Univ Mainz
24208,133,Univ Calif San Diego
24209,67,Sapienza Univ Roma
2068,64,Ist Nazl Fis Nucl
118393,7,Univ Calif Davis
6184,123,Univ Bristol
31661,59,Univ Pisa
125556,1,Univ Montreal
237771,0,INRA
124950,3,Univ Verona
24240,26,Johns Hopkins Univ
6167,174,Univ Wisconsin
5526,105,Univ Manchester
6179,31,Tbilisi State Univ
8769,126,Baylor Univ
24209,47,Michigan State Univ
6182,71,Ist Nazl Fis Nucl
13713,19,Joint Inst Nucl Res
5524,177,Univ Sussex
39675,0,Univ Minnesota
235738,5,Christiana Care Hlth Syst
6169,124,Univ London Imperial Coll Sci Technol & Med
8769,68,Univ Trent
6171,17,Peking Univ
24225,22,Univ Florida
196015,0,Ctr Hosp St Anne
111564,21,Univ Geneva
6179,152,Univ Mississippi
6185,149,Kansas State Univ
6169,56,Univ Bologna
288512,6,INSERM
178933,68,Comenius Univ
121966,30,Kyungpook Natl Univ
6167,97,Univ Canterbury
113291,9,Ruhr Univ Bochum
276367,3,Univ Montpellier 1
20152,114,Univ Montreal
39459,50,Inst Studies Theoret Phys & Math IPM
5528,214,Univ Wurzburg
118393,22,Univ Glasgow
5524,71,Univ Heidelberg
2060,115,MIT
263227,18,Iowa State Univ
24208,186,Univ Roma La Sapienza
4169,129,Radboud Univ Nijmegen
20152,175,Stanford Linear Accelerator Ctr
268572,4,Columbia Univ
203179,12,CNRS
24208,34,Univ Claude Bernard Lyon 1
2060,89,Kyoto Univ
5525,83,Fachhsch Wiener Neustadt
39457,29,Rhein Westfal TH Aachen
110936,53,Tata Inst Fundamental Res
6168,175,Univ Fed ABC
4169,10,Univ Arizona
5524,56,Univ Edinburgh
39457,9,Univ Sofia
224058,9,JAXA
5533,182,Tokyo Metropolitan Univ
238841,55,Florida State Univ
292060,4,Univ Paris 07
306468,1,Inst Cochin Genet Mol
6167,58,Ist Nazl Fis Nucl
6183,35,Rhein Westfal TH Aachen
5528,159,Ritsumeikan Univ
211172,43,Moscow MV Lomonosov State Univ
35106,66,Rockefeller Univ
75281,2,Vita Salute San Raffaele
3002,8,Univ Bologna
116937,62,Univ Trieste
6172,177,IN2P3
5526,94,Univ Salento
13750,72,Penn State Univ
6174,94,Univ Autonoma San Luis Potosi
213779,0,APHP
5528,46,Univ Sci & Technol China
189878,5,State Univ Ghent Hosp
6185,71,Univ Perugia
6176,86,Konkuk Univ
266814,1,Observ Strasbourg
243290,4,U Liverpool
6181,113,CERN
118393,44,Ohio State Univ
110936,91,Korea Univ
2060,109,Univ Michigan
6167,8,Univ Ghent
6171,73,Ist Nazl Fis Nucl
5527,81,Hiroshima Inst Technol
173538,1,Univ Cape Town
235738,9,Cardiovasc Res Fdn
2976,68,Ist Nazl Fis Nucl Trieste Udine
178932,52,Fac Appl Informat Sci
110936,32,ULP
2060,210,Waseda Univ
63908,97,SE Louisiana Univ
170001,2,Assistance Publ Hop Marseille
293384,4,Keio Univ
6181,39,Inst Nucl Phys Demokritos
8769,134,CALTECH
110936,60,Univ Bari
5528,74,Hampton Univ
5533,211,Brookhaven Natl Lab
5528,169,Univ Mohammed 5
87328,13,Univ Texas
294249,2,Natl Inst Aerosp
5524,95,Univ Paris 07
196392,33,Johannes Gutenberg Univ Mainz
168716,1,Inst Nucl Phys Orsay
6171,64,Univ Milano Bicocca
6182,109,CIEMAT
30175,41,McGill Univ
3001,41,Univ Toronto
196269,3,CNRS Thales
238841,12,Charles Univ Prague
242882,1,Univ Lyon
4169,116,MIT
15640,35,Rhein Westfal TH Aachen
6179,10,Univ Mons
228878,0,Univ Paris 06
276367,1,CHU Dijon
6181,155,SUNY Buffalo
56234,4,Univ Grenoble 1
235219,11,Johns Hopkins Univ
6180,96,Quaid I Azam Univ
235293,1,Oregon Hlth & Sci Univ
6185,132,Univ Calif San Diego
6176,129,Univ Calif Davis
178932,5,Univ Autonoma Barcelona
82980,12,Hop Brabois
5522,149,Univ Maryland
292830,1,Univ Porto
6185,77,Ist Nazl Fis Nucl
6179,47,Tata Inst Fundamental Res
178933,90,Tech Univ Split FESB
6172,47,Bhabha Atom Res Ctr
6178,164,Rice Univ
24208,203,Ege Univ
120269,1,CHU Henri Mondor
130165,10,RIKEN
181309,0,Univ Calif Los Angeles
24208,176,Lab Leprince Ringuet
48687,1,Prostate Canc Ctr Hamburg Eppendorf
6177,139,Fermilab Natl Accelerator Lab
58024,7,Univ S Africa
263227,77,Univ Pisa
116711,10,CEA
182624,2,UNESP
82991,3,Univ Paris 13
2068,52,Chonnam Natl Univ
3001,63,Rockefeller Univ
6171,72,Univ Perugia
6175,107,Inst High Energy Phys
6167,193,Rutgers State Univ
76563,17,Univ Nottingham
25467,39,Moscow MV Lomonosov State Univ
66530,5,Univ Klinikum Carl Gustav Carus Dresden
237812,9,Univ Cape Town
39459,74,Scuola Normale Super Pisa
6185,143,Florida State Univ
15104,1,Univ Klinikum Jena
24240,33,Chonbuk Natl Univ
4169,177,Simon Fraser Univ
6172,187,Izmir Inst Technol
6182,114,Paul Scherrer Inst
6184,73,Scuola Normale Super Pisa
6176,152,Univ Minnesota
6185,47,Bhabha Atom Res Ctr
196392,29,Univ Zurich
111564,4,Baylor Univ
224954,0,Ankara Univ
6179,150,MIT
78943,7,Yonsei Univ
258354,2,Ist Nazl Fis Nucl
248539,1,Inst Pasteur
111564,11,Univ Cantabria
6185,56,Ist Nazl Fis Nucl
6172,132,Univ Calif San Diego
19641,69,VTT Informat Technol
20147,48,Univ London Imperial Coll Sci Technol & Med
111565,12,Univ Chicago
238841,19,Univ Paris 11
20147,27,Soltan Inst Nucl Studies
178932,168,Univ Antonio Narino
146033,4,Hosp Santa Maria Rosell
119069,9,Univ Calif Santa Barbara
216379,7,Univ Padua
119102,0,Inst Gustave Roussy
6169,163,Rice Univ
6180,120,Bogazici Univ
159417,1,Hosp Santa Creu & Sant Pau
6175,118,Natl Taiwan Univ
5532,132,Univ Calif Santa Barbara
84812,3,Rennes Univ Hosp
5527,15,Azerbaijan Acad Sci
20152,144,Univ Penn
113291,78,Stanford Univ
6184,136,Univ Colorado
18535,1,Univ Liege
6181,80,Ist Nazl Fis Nucl
26871,30,Univ Cambridge
236338,0,Univ Nancy 1
29273,57,Univ Pennsylvania
110003,6,Med Univ Graz
56133,6,Inst Max Von Laue Paul Langevin
238841,66,Louisiana Tech Univ
85183,0,Fac Pharm
48998,82,Univ Adelaide
5525,140,Moscow MV Lomonosov State Univ
263227,20,Pittsburg State Univ
271375,1,Univ St Etienne
316790,5,Univ Montpellier 1
6177,51,Univ Coll Dublin
5526,49,Univ Clermont Ferrand
2081,143,Florida State Univ
6181,19,Tech Univ Split
6183,148,Lawrence Livermore Natl Lab
104292,0,Max Planck Inst Extraterr Phys
37516,6,Univ Grenoble 1
6176,192,Ege Univ
6171,60,Univ Florence
65529,34,Inst Astron & Fis Espacio
2081,47,Bhabha Atom Res Ctr
6179,73,Univ Pisa
31661,9,Univ Calif Davis
6171,99,Soltan Inst Nucl Studies
6178,92,IPN
178933,58,Inst High Energy Phys
119069,66,Yale Univ
110936,133,Ctr Nat Sci
216379,2,Rennes Univ Hosp
255468,0,Univ Klinikum Jena
13713,56,Univ Paris 06
116938,27,KEK
7488,9,Harvard Smithsonian Ctr Astrophys
25467,38,Max Planck Inst Gravitat Phys
254253,10,Cornell Univ
230414,4,CNRS
15205,5,Univ Birmingham
6179,85,Konkuk Univ
24209,17,Inst Expt Phys
5528,142,Univ Oxford
2081,56,Ist Nazl Fis Nucl
220634,0,Univ Lyon 2
6168,37,Univ Hamburg
10486,27,Soltan Inst Nucl Studies
159475,1,Hop Avicenne
19940,2,Univ Montreal
105930,0,GREVIC
5522,23,Univ Helsinki
6167,40,Univ Athens
39382,18,Hokkaido Univ
309367,3,Jagiellonian Univ
6174,121,Bogazici Univ
13158,22,Royal Perth Hosp
24209,49,Univ New Mexico
6167,165,Rice Univ
294412,1,Univ Montreal
5524,23,Univ Bologna
5527,224,CALTECH
19641,20,Univ So Calif
6180,106,State Res Ctr Russian Federat
67204,0,Univ Toulouse 3
20419,1,Hamilton Hlth Sci
35106,62,Scuola Normale Super Pisa
19647,2,Univ Paris 11
273796,2,Rennes Univ Hosp
6185,68,Ist Nazl Fis Nucl
65529,3,Univ London
20419,13,Univ Hosp Jean Minjoz
2060,91,Univ Lancaster
2060,150,Lab Instrumentacao & Fis Expt Particulas LIP
93970,15,Serv Genet Hotel
275136,7,Univ Hosp Kralovske Vinohrady
19641,48,INAF Osservatorio Astronom Padova
266987,2,Natl Inst Nat Sci
13750,39,LIGO Livingston Observ
268592,12,Glabal AIDS Alliance
116937,35,Univ Liverpool
6181,7,Univ Libre Bruxelles
53127,16,EGO
29273,43,Univ Toronto
5524,170,Simon Fraser Univ
215900,17,Univ Tubingen
31852,0,Mie Univ
6181,15,Univ Sofia
6179,87,Seoul Natl Univ
174396,0,Ctr Rmn Tres Hauts Champs
208388,6,Graz Med Univ
196392,21,Univ Southampton
286267,49,Roche
4169,29,Univ Bologna
178934,23,JINR Dubna
6182,173,Wayne State Univ
110936,122,Univ Belgrade
173596,9,Univ Dortmund
169052,0,Hop Rangueil
187542,2,Orsay Univ
282023,2,Rennes Univ Hosp
131775,11,Ctr Nacl Invest Oncol
6178,184,Univ Trent
8769,161,Univ Puerto Rico
116936,44,Univ Oxford
63908,68,Eotvos Lorand Univ
178933,63,Natl Inst Nucl & High Energy Phys
13753,4,Univ Athens
5532,138,Fermilab Natl Accelerator Lab
25467,46,Univ Roma La Sapienza
24240,36,UCL
2060,39,Univ Cambridge
3002,55,Univ Padua
6167,36,DESY
238841,31,Univ Munich
187183,1,CEA
255881,7,Met Off
5526,183,Royal Inst Technol KTH
245462,0,Pontificia Univ Catolica Chile
178932,81,Univ Melbourne
6180,123,Rutherford Appleton Lab
5525,217,Tel Aviv Univ
7489,21,Univ Toulouse
273217,22,Shizuoka Univ Welf
178932,109,Ohio State Univ
20152,65,Univ Genoa
5524,31,Univ Politehn Bucuresti
6168,151,MIT
178932,193,CEA
6174,178,Visva Bharati Univ
307275,16,Inst Child Hlth
240387,13,Hop Hotel Dieu
13753,57,Univ Pisa
113291,82,Univ Texas
6178,181,Univ Roma La Sapienza
5522,27,CEA Saclay
229075,0,Ecole Normale Super Lyon
2081,149,Kansas State Univ
6184,159,Ohio State Univ
299202,4,Ecole Normale Super Lyon
39459,118,Bogazici Univ
2060,104,Univ Manchester
178932,26,Univ Tecn Federico Santa Maria
6174,138,Fairfield Univ
4169,137,Oklahoma State Univ
24208,28,Lappeenranta Univ Technol
39459,12,Bulgarian Acad Sci
127377,55,Univ Naples Federico II
8063,56,Univ Autonoma Madrid
6178,63,Ist Nazl Fis Nucl
38841,24,Univ Western Australia
31661,17,Joint Inst Nucl Res
5532,30,Inst Natl Phys Nucl & Phys Particules
6177,84,Wonkwang Univ
118383,6,CNRS
178933,19,Sezione Ist Nazl Fis Nucl
127377,78,Stanford Linear Accelerator Ctr
185272,2,Temis Innovat
38841,23,Sonoma State Univ
2081,21,Acad Sci Res & Technol Arab Republ Egypt
6182,146,Johns Hopkins Univ
151141,0,Univ Paris 06
14043,3,Univ Paris 07
3001,19,Fermilab Natl Accelerator Lab
26871,42,Caltech CaRT
268592,19,Aix Marseille Univ
257301,1,SUPMECA
259654,17,Univ Tubingen
8769,115,Univ Zurich
5527,218,Rutherford Appleton Lab
68542,0,Univ Grenoble 1
5532,157,Univ Notre Dame
268369,2,UPMC
211172,16,Univ Nova Lisboa
240430,2,CHU Nantes
51686,13,Univ Rennes
228122,0,Univ Paris 06
178932,35,Univ Calabria
5522,161,Purdue Univ
6172,13,Univ Estadual Paulista
187238,14,MIT
6173,118,Natl Taiwan Univ
5533,188,Tufts Univ
217872,3,Vrije Univ Brussel
274365,0,Grp Francophone Myelodysplasies
280704,2,Jagiellonian Univ
207714,1,CNRS
178932,73,Lund Univ
116938,59,Texas A&M Univ
4169,209,Inst Microelect Barcelona IMB CNM CSIC
39457,30,Rhein Westfal TH Aachen
8063,35,Indiana Univ
146817,0,Lab Univ Astrophys Nice
6172,65,Ist Nazl Fis Nucl
2060,42,Univ Chicago
13713,0,Univ Helsinki
6167,29,Univ Haute Alsace Mulhouse
6181,98,Univ Warsaw
268572,0,Johns Hopkins Univ
6178,48,Tata Inst Fundamental Res
6179,166,Rutgers State Univ
5528,171,Univ Calif Santa Cruz
259645,1,Dublin Inst Adv Studies
199131,5,Spanish Natl Canc Ctr
268592,7,Univ Malawi
204450,0,Osserv Astrofis Arcetri
65513,5,Argonne Natl Lab
5524,44,Columbia Univ
21861,24,Harvard Univ
121966,65,Wayne State Univ
286267,26,Med Coll Wisconsin
10355,6,Univ Aix Marseille
6167,45,Panjab Univ
58023,0,Univ Birmingham
4169,41,Carleton Univ
10355,5,Museo Arqueol Reg
159417,8,UCL
5533,126,Nagoya Univ
8769,32,Georgian Acad Sci
63908,48,Inst Astron
13713,21,Fermilab Natl Accelerator Lab
31661,69,Texas A&M Univ
6176,82,Univ Trieste
5525,191,Univ Wurzburg
6874,10,Ctr Hosp
35106,13,Carnegie Mellon Univ
196392,2,Univ Colorado
240387,10,Univ Helsinki
189878,17,Childrens Hospt Westmead
39459,110,CERN
5526,54,UST
8063,76,Univ Pavia
8063,88,Univ London
6185,13,Univ Estadual Paulista
5524,125,BINP
291269,9,Henri Mondor Univ
211172,13,Univ Fed Rio de Janeiro
310382,2,Russian Acad Sci
159418,10,Hosp Santa Creu & Sant Pau
5522,98,Lab Instrumentacao & Fis Expt Particulas
6174,89,Univ Seoul
82904,5,Serv Malad Sang
93271,3,Univ Vita Salute San Raffaele
6177,100,Lab Instrumentacao & Fis Expt Particulas
35106,3,Univ Autonoma Barcelona
4169,222,Univ Lyon 1
234226,0,UPMC
5526,15,Univ Autonoma Barcelona
108519,1,Tech Univ Berlin
39457,12,Univ Los Andes
25453,0,INRA
2081,137,Univ Colorado
6172,14,Bulgarian Acad Sci
198945,1,Hop Instruct Armees Begin
2094,18,Duke Univ
238177,14,Marseille Univ
70409,2,Univ Montreal
255879,7,CSIRO
294637,8,Univ Vita Salute San Raffaele
3001,49,Okayama Univ
159408,10,Hammersmith Hosp
6183,136,Univ Colorado
235219,9,Johns Hopkins Univ
2081,146,Univ Iowa
69437,0,CNRS
6175,121,Bogazici Univ
286267,52,Novartis
6177,91,Vilnius Univ
31661,75,Wayne State Univ
83446,2,Univ Perpignan
24208,132,Univ Calif Riverside
78962,6,Hampshire Coll
268572,3,NASA
282570,0,Univ Franche Comte
76447,1,Isaac Newton Inst Chile
2069,31,Chonnam Natl Univ
6173,138,Fairfield Univ
16136,0,CNRS
6185,169,Univ Tennessee
5524,22,Ist Nazl Fis Nucl
6181,46,Univ Delhi
78945,8,Univ Calif Los Angeles
6172,79,Univ Turin
33556,8,Univ Calif Los Angeles
20152,172,Shinshu Univ
38841,56,Univ Michigan
124185,3,Grp Hosp Pitie Salpetriere
258354,82,Natl Astron Observ Japan
5528,27,Istanbul Tech Univ
58024,6,Eureka Sci
15104,6,Oregon Hlth & Sci Univ
218527,0,Plasma Proc Engn & Surface Treatment Lab LGPPTS
4169,216,Berg Univ Wuppertal
187238,56,Univ Salerno
178932,114,Univ Paris 11
7489,17,Osserv Astron Roma
