id,d,first_name,fn_initial,mn_initial,last_name
34968,4,R,R,"",Abe
27303,3,S,S,Y,Abe
41841,3,S,S,Y,Abe
83612,0,S,S,Y,Abe
92737,1,S,S,Y,Abe
141505,0,S,S,Y,Abe
224058,40,S,S,"",Abe
282943,2,S,S,"",Abe
5542,0,S,S,"",Abe
31852,0,S,S,"",Abe
38000,0,S,S,"",Abe
38699,0,S,S,"",Abe
75048,0,S,S,"",Abe
92785,0,S,S,"",Abe
95069,0,S,S,"",Abe
96839,0,S,S,"",Abe
129298,0,S,S,"",Abe
155836,0,S,S,"",Abe
179819,1,S,S,"",Abe
195619,1,S,S,"",Abe
212290,1,S,S,"",Abe
218661,0,S,S,"",Abe
242856,0,S,S,"",Abe
253606,0,S,S,"",Abe
259784,0,S,S,"",Abe
260215,0,S,S,"",Abe
266394,0,S,S,"",Abe
269036,0,S,S,"",Abe
284443,0,S,S,"",Abe
33556,7,J,J,F,Allemand
57838,2,J,J,F,Allemand
83807,3,J,J,F,Allemand
110390,0,J,J,F,Allemand
111999,3,S,S,"",Abe
127377,494,T,T,"",Abe
135188,2,J,J,F,Allemand
137287,0,J,J,F,Allemand
179543,4,J,J,F,Allemand
215147,4,J,J,F,Allemand
247757,3,J,J,F,Allemand
277506,0,J,J,F,Allemand
281352,2,J,J,F,Allemand
284205,3,J,J,F,Allemand
292060,1,J,J,F,Allemand
7384,2,T,T,"",Abe
23794,8,T,T,"",Abe
204668,3,J,J,"",Allemand
207962,0,J,J,"",Allemand
306468,3,J,J,"",Allemand
185598,2,T,T,"",Abe
113291,499,T,T,"",Abe
196392,1,T,T,"",Abe
278316,0,T,T,"",Abe
238130,31,T,T,"",Abe
63111,0,Y,Y,"",Abe
131246,0,Y,Y,"",Abe
162066,0,Y,Y,"",Abe
169925,5,Y,Y,"",Abe
224954,2,Y,Y,"",Abe
243306,0,Y,Y,"",Abe
250321,1,Y,Y,"",Abe
286267,71,Y,Y,"",Abe
7502,2,M,M,"",Arlot
14337,2,M,M,E,Arlot
67472,2,M,M,E,Arlot
90110,1,M,M,"",Arlot
97745,0,M,M,E,Arlot
128546,1,M,M,"",Arlot
167555,0,M,M,E,Arlot
175644,2,M,M,E,Arlot
184000,1,M,M,"",Arlot
211474,0,M,M,E,Arlot
276814,2,M,M,E,Arlot
279894,5,M,M,"",Arlot
286272,1,M,M,"",Arlot
291572,2,M,M,"",Arlot
104292,4,R,R,"",Barba
65529,11,R,R,H,Barba
10351,6,R,R,"",Barba
10352,8,R,R,"",Barba
10353,6,R,R,"",Barba
10355,6,R,R,"",Barba
146033,3,R,R,"",Barba
15767,7,J,J,P,Bassand
17615,5,J,J,P,Bassand
20419,12,J,J,P,Bassand
30257,1,J,J,P,Bassand
63636,0,J,J,P,Bassand
72557,6,J,J,P,Bassand
73104,7,J,J,P,Bassand
76228,0,J,J,P,Bassand
82637,6,J,J,P,Bassand
84000,12,J,J,P,Bassand
87169,3,J,J,P,Bassand
87328,3,J,J,P,Bassand
91326,0,J,J,P,Bassand
93807,1,J,J,P,Bassand
98060,1,J,J,P,Bassand
104906,0,J,J,P,Bassand
109888,0,J,J,P,Bassand
115210,5,J,J,P,Bassand
124263,9,J,J,P,Bassand
124272,1,J,J,P,Bassand
124275,8,J,J,P,Bassand
124284,9,J,J,P,Bassand
154773,1,J,J,P,Bassand
160074,16,J,J,P,Bassand
160300,8,J,J,P,Bassand
164544,6,J,J,P,Bassand
164545,7,J,J,P,Bassand
176502,0,J,J,P,Bassand
176503,0,J,J,P,Bassand
188773,2,J,J,P,Bassand
194430,0,J,J,P,Bassand
194774,0,J,J,P,Bassand
199752,0,J,J,P,Bassand
210752,3,J,J,P,Bassand
210753,2,J,J,P,Bassand
213748,8,J,J,P,Bassand
214283,0,J,J,P,Bassand
218811,0,J,J,P,Bassand
230676,0,J,J,P,Bassand
235738,5,J,J,P,Bassand
241548,7,J,J,P,Bassand
243038,0,J,J,P,Bassand
249346,9,J,J,P,Bassand
249347,9,J,J,P,Bassand
252105,6,J,J,P,Bassand
252106,7,J,J,P,Bassand
252107,7,J,J,P,Bassand
275136,4,J,J,P,Bassand
282264,9,J,J,P,Bassand
282570,6,J,J,P,Bassand
286677,7,J,J,P,Bassand
286678,7,J,J,P,Bassand
287100,10,J,J,P,Bassand
288068,5,J,J,P,Bassand
292231,7,J,J,P,Bassand
292926,9,J,J,P,Bassand
12441,0,M,M,A,Bassetti
83446,2,M,M,A,Bassetti
87373,4,M,M,A,Bassetti
154207,4,M,M,"",Bassetti
160000,0,M,M,A,Bassetti
239137,2,M,M,A,Bassetti
20223,1,M,M,"",Bassetti
71189,2,M,M,"",Bassetti
14137,4,B,B,J,Blaise
29484,0,B,B,J,Blaise
34450,0,B,B,"",Blaise
40795,3,B,B,J,Blaise
153813,0,B,B,J,Blaise
174396,1,B,B,"",Blaise
259428,0,B,B,J,Blaise
